medicines,Disease,symptoms
Doshavaishamyam,URUSTAMBAH/ADHYAVATAH,"severe tiredness in calf muscles, severe tiredness of thighs, slight burning, slight pain, pain on stepping, inability to perceive cold touch, unable to stand, unable to tolerate pressure, unable/difficulty in walking, inability to move, feels as if thighs are broken, feels as if legs are broken, stiffnes of thigh, cold on touch/feel of thigh, loss of sensation in thigh, thigh feels as if it belongs to someone else, heaviness of thigh, severe frequent pain, insensibility/meditatitve appearance, generalised bodyache, a sensation of being covered with wet clothes, drowsiness/lassitude, vomiting, tastelessness, fever, feeling of weakness of feet/legs, difficulty in raising/lifting legs, numbness"
Doshavaishamyam,URUSTAMBA-PURVARUPAM,"insensibility/meditatitve appearance, sleep, excessive rigidity, tastelessness, fever, horripilation, vomiting, asthenia/fatigue of calf muscles, fatigue /weakness in thighs"
Doshavaishamyam,ASADHYA-URUSTAMBAH,"burning sensation, pain, pricking pain, shivering/tremors"
Doshavaishamyam,AMSASOSHAH,atrophy of the structure binding the shoulder joints/wasting of shoulder region
Doshavaishamyam,AKSHEPAKAH,"sudden movements of limbs, wasting of hands, wasting of feet, wasting of blood vessels, wasting of muscles, wasting of tendons"
Doshavaishamyam,ADHMANAM,"gurgling sound of the intestines/barborygmus, excessive pain, abdominal distention, obstruction of flatus"
Doshavaishamyam,PRATYADHMANAH/PRATYANAHAH,"ādhmāna originated from amaśaya, gurgling sound of the intestines/barborygmus, excessive pain, distention of abdomen, obstruction of flatus"
Doshavaishamyam,BAHIRAYAMAH/BAHYAYAMAH/DHANUHSTAMBAH,"backward bending of head, raising up of chest part of body, torticollis/stiffness of neck, bending of neck/neck pain?, grinding of teeth/teeth biting, yawning, salivation, chocked voice, confusion/weakness after the attack /episode, breaking type of pain in chest-back-thigh"
Doshavaishamyam,ASADHYADHANUSHKAMPA,"discoloured teeth, discoloured face, flaccidity/laxity, loss of conciousness, excessive perspiration"
Doshavaishamyam,URDHVAVATAH,excessive belchings/eructation
Doshavaishamyam,EKANGAVATAH,"cessation of activity/inability to do movement ( whole body/half body), pain, impediment of speech/dysphasia, contraction in one lower limb, contraction in one upper limb, pricking pain, sharp/acute pain, senseless/unconciousness"
Doshavaishamyam,KALAYAKHANJAH,"trembles on walking, walks like dragging/lameness, loss of the controll of the joint/loose joint ligaments"
Doshavaishamyam,KROSHTUKASIRSHAH,"big and painful swelling in the knee joint/swelling in knee which appears like jackal head, severe pain in middle of knee"
Doshavaishamyam,KHANJAH/KHANJATVAM,paralyzed single thigh
Doshavaishamyam,KHALLI,"cramp in feet, cramp in the calf, cramp in the thigh, cramp in the wrist, cramp in hand"
Doshavaishamyam,GRUDHRASI,"gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet, constant/frequent throbbing/twiching sensation, moving to and fro/stretching of thigh, supression/holding down of thighs"
Doshavaishamyam,VATIKAGRUDHRASI,"gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet, constant/frequent throbbing/twiching sensation, supression/holding down of thighs, twitching sensation in knee, stiffness in knee joint, twitching sensation in waist, stiffness of lowback, twitching sensation in thigh, stiffness in thigh, pricking pain, bending/flexion of the body"
Doshavaishamyam,VATAKAPAJA-GRUDHRASI,"gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet, constant/frequent throbbing/twiching sensation, supression/holding down of thighs, drowsiness/lassitude, heaviness, tastelessness/aversion to food, diminution of agni /hypofunction of digestive mechanism, salivation"
Doshavaishamyam,JIHVASTAMBAH,"inability in intake (of food and liquids), unable to speak"
Doshavaishamyam,TUNI,"pain travels down from rectum and urinary bladder, tearing sensation in the genitals, tearing sensation in the anus, severe pain in bladder region"
Doshavaishamyam,DANDAPATANAKAH,whole body stiffness like a stick
Doshavaishamyam,PAKSHAGHATA/PAKSHAVADHAH,"hemiplegia/hemiparesis, loss of movements/unable to do movements (loss of motor function) (whole body/half body), impediment of speech/dysphasia, pain, contraction in one lower limb, contraction in one upper limb, pricking pain, sharp/acute pain, senseless/unconciousness, dislocation of joint/flaccidity, loss of tactile sensation"
Doshavaishamyam,KAPANVITAPAKSHAGHATAH,"cold on touch on affected side of body, oedema, heaviness"
Doshavaishamyam,PITTANVITAPAKSHAGHATAH,"burning sensation, burning sensation, syncope/attacks of swooning"
Doshavaishamyam,PADADAHAH,burning sensation in feet (specially on walking)
Doshavaishamyam,PADAHARSHAH,"numbness in the feet, sensation of excitement/tingling in the feet"
Doshavaishamyam,PRATITUNI,pain arises from the anorectal and penile region and radiates quickly upwards (reverse spreading)
