medicines,Disease,symptoms
,RAKTAPITTAM,"bleeding from orifices of body in the upper part viz. mouth, nose, eyes, ears etc.., bleeding from orifices of body in the lower part of body viz. anus, penis, vagina etc.., bleeding from both the side of body, bleeding through hair follicles"
,RAKTAPITTA-PURVARUPAM,"disinclination for food, heartburn after having food, fermented smell and taste in belch, sour smell and taste in belch, frequent vomiting, abhorrence towards vomitus, hoarseness of voice, weakness of body, severe burning sensation, feels as if fumes are coming from the mouth, metallic smell in the mouth, smell of blood in the mouth, fishy smell in the mouth, rancid smell in the mouth, reddish/greenish or yellowish discoloration of body parts/eyes etc., reddish/greenish or yellowish discoloration of fecal matter, reddish/greenish or yellowish discoloration of urine, reddish/greenish or yellowish discoloration of sweat, reddish/greenish or yellowish discoloration of saliva, reddish/greenish or yellowish discoloration of nasal excreta, reddish/greenish or yellowish discoloration of oral excreta, reddish/greenish or yellowish discoloration of cerumen, reddish/greenish or yellowish discoloration of excreta of eye., reddish/greenish or yellowish discoloration of eruptions, body pain, seeing reddish/bluish/yellowish/blackish and sometimes shining objects in dreams, exhaustion, desire for cold, fuming sensation in throat, metallic odour in breath, heavyness of head, tastelessness, fuming sensation on belching, sour belching/eructation, cough, breathlessness/difficult breathing, giddiness or dizziness, exhaustion without exertion, diminution of voice/loss of voice, inability to differentiate blue, red and yellow colours"
,URDHVAGA-RAKTAPITTAM,"bleeding through ear, bleeding through nose, bleeding through eyes, bleeding through mouth"
,ADHOGA-RAKTAPITTAM,"bleeding per rectum, bleeding through penis, bleeding through vagina"
,VATAJARAKTAPITTAM,"blacksh blood discharge, slightly reddish blood discharge, frothy blood discharge, reduced viscocity of bood discharge, reduced unctoousness of bood discharge"
,PITTAJARAKTAPITTAM,"ochre coloured blood discharge, black coloured blood discharge, blood discharge resembling colour of cows urine, blood like eyes of peacocks tail or else may be like soot or collyrium, blood discharge resembling collyrium"
,KAPAJARAKTAPITTAM,"a viscid blood passing, pale blood passing, oleaginous blood passing, sleepary blood passing, mucoid blood passing"
,SANNIPATIKA-RAKTAPITTAM,mixed symptoms of all types of raktapitta
,VATARAKTA-PURVARUPAM,"excessive sweating, anhidrosis/lack of sweating, blackish discoloration of body, loss of touch sensation, severe pain on injury/when hit, dislocation of joint/lax joints, lethargy, exhaustion, appearance of eruptions, pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints, tremors in knee/leg/thigh/shoulder/hands/feet/body parts or joints, splitting pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints, heaviness in knee/leg/thigh/shoulder/hands/feet/body parts or joints, numbness in knee/leg/thigh/shoulder/hands/feet/body parts or joints, itching, pain in joints, repeated sudden onset, discolouration, appearance of rounded eruptions, flaccidity/laxity in body parts"
,UTTANA-VATARAKTAM,"itching, burning sensation, pain, feeling of stretching, pricking pain, pulsating sensation, contraction, brownish black discoloration of skin, coppery discoloration on exterior of skin, reddish discoloration of skin"
,GAMBIRA-VATARAKTAM,"swelling, stiffness, hardness, sudden onset of pain, bluish black colour, copper colour, burning sensation, pricking pain, pulsating sensation, inflammation/suppuration, pain, internal burning sensation, lameness, limping of both leg, deformities"
,VATAJAVATARAKTAM,"dilatation of the veins, pain, pulsating sensation, pricking pain, black coloured swelling, dry swelling, blackish swelling, sweeling increases or decreases, artery becomes narrow, contracture of fingures, joints becomes narrow, restricted movement of body parts, severe pain, contractures, rigidity/stiffness, aversion to cold, shivering/tremors"
,PITTAJA-VATARAKTAM,"heart burn, unconsciousness/confusion, perspiration, syncope/attacks of swooning, intoxication, thirst, tenderness/inability to tolerate touch, pain, redness/congestion, oedema, inflammation/suppuration, excessive warmth"
,KAPAJAVATARAKTAM,"a sensation of being covered with wet clothes, heaviness, insensitive to touch, unctuousness of body, coldness, itching, mild pain"
,RAKTAJAVATARAKTAM,"severe pain in the swelling, pricking pain in the swelling, coppery coloured swelling, tingling sensation, it subsides neither with fatty nor with dry medicaments, itching, moist discharge/wetness"
,ASADHYA-VATARAKTAM,"insomnia/sleeplessness, tastelessness, breathlessness/difficult breathing, suppuration of māṁsa, stiffness of head, syncope/attacks of swooning, intoxication, pain, thirst, fever, semiconsciousness or stupefaction, shivering/tremors, hiccup, limping of both legs in paraplegia, spreading cellulitis/erysipelas, inflammation/suppuration, pricking pain, giddiness or dizziness, exhaustion without exertion, deformity of fingers, blister, burning sensation, afflicted with marma site, tumor, confusion/delirium, oozing of discharges, discolouration, stiffness, leading to tumour"
,VIDRADHIH,"deep seated fatal swelling, severe pain in cardiac region, severe pain in klōma, severe pain in liver region, severe pain in splenic region, severe pain in flanks, severe pain in renal region, severe pain in navel region, severe pain in groins, severe pain in basti/urinary bladder region, sudden onset of suppuration, odema, rounded swelling, lengthened swelling"
,VATAJAVIDRADHIH,"black swelling, slightly red coloured swelling, rough oedema, excessively severe pain, varied types of onset and suppuration, thin watery discharge, less unctuous discharge, slightly reddish coloured discharge, blackish coloured discharge, frothy discharge, penetrating type of pain, cutting type of pain, giddiness or dizziness, barborygmus with distention, sound from swelling, pulsating sensation, spreading nature of swelling, blackish discoloration of swelling, irregular appearance"
,PITTAJAVIDRADHIH,"swelling resemble ripe udumbara/fig fruit, blackish colour of swelling, fever, produces burning sensation, has a quick onset and suppuration, yellowish discharge, discharge resembling tila (sesame seeds), discharge resembling māṣa (black gram), discharge resembling kulatthōdakaḥ, thirst, confusion/delirium, intoxication, reddish swelling, coppery coloured swelling"
,KAPAJAVIDRADHIH,"like an earthen saucer, pallor, cold, stiffness, mild pain, develops slowly and suppurates after a long time, whitish discharge, slimy discharge, profuse discharge, excessive/copious discharge, itching, yawning, nausea/provocation of dōṣa, tastelessness, heaviness"
,SANNIPATAJAVIDRADHIH,"variegated colouration, vartious type of pain, associated with varied discharges, markedly raised, uneven and extensive, irregular nature, broad/extensive, suppurates irregularly, mixed features"
,RAKTAJAVIDRADHIH,"covered by black blisters, blackish discolouration, severe burning sensation, painful, fever, features of paittika abscess, swelling resemble ripe udumbara/fig fruit, blackish colour of swelling, fever, produces burning sensation, has a quick onset and suppuration, yellowish discharge, discharge resembling tila (sesame seeds), discharge resembling māṣa (black gram), discharge resembling kulatthōdakaḥ, thirst, confusion/delirium, intoxication, reddish swelling, coppery coloured swelling"
,BAHYAVIDRADHIH,"resembles tendon, severe pain"
,ANTARVIDRADHIH,"clinical features similar to those of external abscesses, resembles tendon, severe pain, resembling the shape of anthill, resembling gūlma"
,GUDAJAVIDRADHIH,obstruction of flatus
,BASTIJAVIDRADHIH,"oliguria, dysuria"
,NABIVIDRADHIH,"gurgling sound of the intestines/barborygmus, hiccup"
,KUKSHIVIDRADHIH,"gurgling sound of the intestines/barborygmus, pain"
,VANKSHANAJA-VIDRADHIH,"catchingpain/restricted movement, exhaustion or tirednes of body"
,VRUKKAJAVIDRADHIH,"catchingpain/restricted movement, pain, contraction"
,PLIHAJAVIDRADHIH,difficulty in breathing
,HRUD-VIDRADHIH/HRUDAYA-VIDRADHIH,"cough, severe rigidity all over the body"
,YAKRUJJAVIDRADHIH,"breathlessness/difficult breathing, hiccup"
,KSHATAJA VIDRADHIH/AGANTUJA-VIDRADHIH,"fever, thirst, burning sensation, has the clinical features of a paittika abscess, swelling resemble ripe udumbara/fig fruit, blackish colour of swelling, fever, produces burning sensation, has a quick onset and suppuration, yellowish discharge, discharge resembling tila (sesame seeds), discharge resembling māṣa (black gram), discharge resembling kulatthōdakaḥ, thirst, confusion/delirium, intoxication, reddish swelling, coppery coloured swelling"
,VISARPAH,"swelling spreads all over the body, swelling spreads suddenly, swelling covers wide area, not much raised swelling"
,VATAJAVISARPAH,"giddiness or dizziness, burning sensation of eye, thirst, pricking type of pain, severe pain, generalised bodyache, cramps, tremors, fever, black outs, cough, breaking/splitting type of pain in the bones, breaking/splitting pain in joints, feel of loosening in bones, loosening /dislocation of joints, shivering/tremors, tastelessness, indigestion, querulous eyes, bleeding, tingling sensation, geyish coloured oedema, slightly reddish coloured oedema, excessive tearing sensation, excessive stretching, excessive contracture, horripilation, excessive twitching, constitutional features as in vātaja fever, wound/ulcer formation after rupture of rippened (absess)"
,PITTAJAVISARPAH,"fever, thirst, syncope/attacks of swooning, confusion/delirium, vomitting/emesis, tastelessness, breaking pain in body, excessive perspiration, burning sensation inside the body, excess talking/irrelevant speech/incoherent speech, headache, querulous eyes, insomnia/sleeplessness, distress/dicontent/restlessness, giddiness or dizziness, excessive desire for cold water, excessive desire for cold air, greenish tint in eyes/excessive icterus, green coloured urine, greenish tint in stool, greenish vision (of patient), yellow coloured eyes, yellowish discoluration of urine, excess yellow tint to stool, yellowish vision (of patient), pinkish colouration of visarpa affected area, greenish colouration of visarpa affected area, yellowish colouration of visarpa affected area, bluish colouration of visarpa affected area, blackish colouration of visarpa affected area, redness of visarpa affected area, local swelling, severe burning sensation, excessive breaking pain, eruption with pinkish discharge, eruption with greenish discharge, eruption with yellowish discharge, eruption with blueish discharge, eruption with blackish discharge, eruptions with bloody discharge/with bleeding, speedy/quick/swift gait, furuncle with deep red colour, constitutional features of pittaja fever, pitta dominant wound formation in rippened and ruptured (abscess)"
,KAPAJAVISARPAH,"chills, fever with chills, heaviness, sleep, drowsiness/lassitude, tastelessness, sweet taste in mouth, sticky feel in mouth, sputum/expectoration, vomiting, lethargy, a sensation of being covered with wet clothes, loss of agni (digestive power), weakness, affected area of body with swelling over it, affected area of body with pallor over it, affected area of body without much redness on it, area of body with unctuousness, affected area of body with numbness, affected area of body with stiffness, area of body with heaviness, affected area of body with mild pain, eruption which is difficult to rippen, eruption which is late to rippen, eruption covered with thick skin, whitish colored eruption, blisters with pallor, whitish discharge after burst (abscess/eruption), sticky discharge after burst (abscess/eruption), fibrous discharge after burst (abscess/eruption), thick discharge after burst (abscess/eruption), clotted discharge after burst (abscess/eruption), unctuousdischarge after burst (abscess/eruption), covered with thick and heavy netted appearance in upper body ..(ref needed for proper context), covering of thick and unctuous skin, chronic (associated over a long period), white nails, white eyes, whitish face, whitish skin, whitish urine, whitish stool, slow (forward) movement, mild pain, excessive itching, associated with itching, smooth/unctuous /oily, constitutional features (or pain )as in a case of kaphaja fever, kapha dominant wound formation in rippened and ruptured (abscess)"
,AGNIVISARPAH/VATAPITTAJAVISARPAH/AGNIDAHAJA-VISARPAH,"vomiting, diarrhoea, syncope/attacks of swooning, burning sensation, confusion/delirium, fever, respiratory distress, tastelessness, breaking/splitting type of pain in the bones, breaking/splitting pain in joints, feels as if burnt with heated charcoal, thirst, area becomes as cool down coal as black or red, blisters as after a thermal burn, with quick speed, associated with or progressing towards vital points (marma)"
,MARMAGATA-AGNIVISARPAM,"breaks down the organs/tissues, takes away the conciosness or alertness, generates hiccups and dyspnoea, insomnia, disoriented with insomnia, disturbed mind with insomnia, unhappy and having insomnia, severe distress/dicontent/restlessness, changes positions due to restlessness, falls asleep while caught in complex condition, like burning coal, white like burnt coal, bluish, red/blood, accumulates/grows quickly"
,GRANTHIVISARPAH/VATAKAPAJAVISARPAH,"a series of slow rippening nodules in kapha dominant region, a series of nodules associated in region with vessels, muscles,skin, severe pain, large/small neolasm/growth, elongated/round growth/neoplasm, red colored neoplasm/growth, fever, diarrhoea, cough, hiccup, breathlessness/difficult breathing, dryness/wasting/emaciation, confusion/delirium, discolouration, tastelessness, indigestion, excessive salivation, vomiting, syncope/attacks of swooning, breaking type of pain in body, sleep, distress/dicontent/restlessness, diminution of agni (digestive power), rough nodules, giddiness or dizziness"
,KARDAMAVISARPAH/PITTAKAPAJAVISARPAH,"fever with chills, heavyness of head, burning sensation, a sensation of being covered with wet clothes, fatigue, sleep, drowsiness/lassitude, confusion/delirium, aversion to food, excess talking/irrelevant speech/incoherent speech, loss of agni (digestive power), weakness, breaking/splitting type of pain in the bones, syncope/attacks of swooning, thirst, feeling of wrapped of srōtasa, dullness/inactiveness/sluggishness of sense organs, defecation of stools with āma, convulsive movements of body, generalized bodyache, distress/dicontent/restlessness, anxious curiosity, predominantly in āmāśaya region, affecting specific organ/region/body part, area comprised of red nodules, area comprised of yellowish nodules, area comprised of whitiish nodules, area comprised of mēcaka (as like eyes of peacocks tail or collyrium) nodules, area comprised of blackish nodules, misty /unclean area, unctuous area, area with excessive heat, heaviness, heavy and wet feeling with pain, oedematous, deep seated suppuration, without any discharge, getting moist very quickly, soft tissue and muscles with sweat, soft tissue and muscles with moisture, skin with sweat, moist skin, putrifaction of māṁsa, putrid smell, gradual mild pain, breaks down on touch and feel like muddy, slushy, falls down after suppuration, (on pressure) foul smelling n moist soft tissue, blood vessels and soft tissue/muscles are visible, cadaveric smell, loss of conciousness, dementia, rigidity/stiffness, tastelessness, giddiness or dizziness, dulling of senses, defecation of stools with āma, deep seated suppuration, friable to touch as it is sodden, appears like mud due to muscles being decayed, exposed ligamentstendons and the vascular bundles, cadaveric smell"
,KSHATAJAVISARPAH,"grey colored oedema, red colored oedema, fever, burning sensation, inflammation/suppuration, kulattha seed like vescicles, blackish eruptions, pain"
,ASADHYA-VISARPAH,"that which affects marma, withering of māṁsa, withering of sinews, withering of veins, weeping, cadaveric smell"
,VISARPA-UPADRAVAH,"fever, diarrhoea, vomiting, breaking and withering of skin, breaking and withering of muscle-tissue, exhaustion without exertion, tastelessness, indigestion"
,BAHYAPIRANGAH,"lesions or eruotions appear on the penis, mild pain, pain as wound"
,ABYANTARAPIRANGAH,"associated with joint pains like rheumatism, oedema, difficult to cure"
,VATAJAPLIHAROGAH,"continuous flatulence, reversed peristalsis, pain"
,PITTAJAPLIHAROGAH,"associated with fever, thirst, associated with burning sensation, semiconsciousness or stupefaction, yellowishness"
,KAPAJAPLIHAROGAH,"mild pain, broad, hard, tenseness, heaviness of body, tastelessness"
,RAKTAJAPLIHAROGAH/RAKTAJA-PLIHODARAH,"exhaustion without exertion, giddiness or dizziness, internal burning sensation, discolouration, heaviness of body parts, semiconsciousness or stupefaction, reddening of the abdomen"
,SLIPADAH,"associated with fever, having origin in groins"
,VATAJASLIPADAH,"swelling rough on touch, black coloured swelling, rough oedema, excessive cracks, rough swelling, severe pain, pain appears without cause, frequent attacks of fever, peeling of skin"
,PITTAJASLIPADAH,"yellowish coloured swelling, soft swelling, fever, burning sensation"
,KAPAJASLIPADAH,"whitish coloured swelling, glossy swelling, mild pain, heavy in nature, huge swelling, associated with thorn like projections, heavy swelling in the inguinal region and in the foot, associated with muscular growths, pale swelling in the inguinal region and in the foot, heavy swelling, hard swelling in the inguinal region and in the foot"
,ASADHYA-SLIPADAH,"chronicity of more than one year, excessively large, swelling resembling anthill, exudative swelling, associated with thorn like projections"
,SITAPITTAM,"like that of sting of insect/wasp, itching, severe pricking type of pain, vomiting, fever, internal burning sensation, edematous lesions appear on the skin, dominance of vātadōṣaḥ"
,SITAPITTA-PURVARUPAM,"thirst, tastelessness, nausea, tiredness of the body, heaviness in the body, redness in the eyes"
,UDARDAH,"like that of sting of insect/wasp, itching, severe pricking type of pain, vomiting, fever, internal burning sensation, edematous lesions appear on the skin, dominance of kaphadōṣaḥ, elevated lesions, redness/congestion, itching, circular patches, internal burning sensation"
,BAGANDARA-PURVARUPAM,"pain at iliac region/iliac bones, itching, burning sensation, anal oedema, nodule leading to fistula-in-ano, burning sensation, pain"
,SATAPONAKABAGANDARAH/VATAJA-BAGANDARAH,"appearance of slightly red colored eruptions, pricking pain, full of multiple minute pores like that of sieve, if it remains untreated suppuration results, due to close proximity to the urinary bladder the wound is always moist in nature, heavy discharge through opening, clear discharge through opening, frothy discharge through opening, excessive discharge through opening, whipping pain, tearing pain, biting pain, pricking pain, splitting sensation in anus, if neglected flatulence, urine, faeces and semen starts oozing out of those openings, minute opening"
,USHTRAGRIVA-BAGANDARAH/PITTAJA-BAGANDARAH,"red colored nodule, smal nodule, elevated noduel, sucking type of pain, excessive burning in wound (like that of fire), burning sensation as chemical cautery, foul smell, dischrge which is not cold, if neglected flatulence, urine, faeces and semen starts oozing out of those openings, red eruptions in the anal region, undergoes quick suppuration, warm and foul smell discharge"
,PARISRAVI-BAGANDARAH/SLESHMAJA-BAGANDARAH,"white coloured, immovable nodule (with large/fix base), nodule with itching, itching sensation, if it remains untreated suppuration results, indurated, redness/congesion/inflammation, associated with itching sensation, slimy discharge, continuos discharge, if neglected flatulence, urine, faeces and semen starts oozing out of those openings, thick/dense discharge, mild pain"
,PARIKSHEPI-BAGANDARAH/VATAPAITTIKA-BAGANDARAH,"circular fistula around the anus, like that of pit around the fort"
,RUJU-BAGANDARAH/VATAKAPAJA-BAGANDARAH,forms a straight fistula
,ARSO-BAGANDARAH KAPAPITTA-BAGANDARAH,"oedema, itching at anus, burning sensation, suppurates quickly, on bursting of pile mass after suppuration, there is soddening at the base, continous discharge"
,SAMBUKAVARTA-BAGANDARAH/SANNIPATAJA-BAGANDARAH,"nodule of a size of hallux, pricking pain, burning sensation, itching, if it remains untreated suppuration results, discharge with various /invariable colours, like the ridges of a snail, tracts damaging soft tissues, boil looking like the teat of cow, different types of pain, different types of colour, excessive/copious discharge"
,UNMARGAGAMI-BAGANDARAH/SALYAJANYA-BAGANDARAH/KSHATAJA-BAGANDARAH,"purtrifaction of muscle associated with pus and blood, like, worms are generated in moist soil, microorganisms damaging soft tissue of anal region, gases,urine,stool,semen are passed through the tracts created by micro organisms."
,BAGANDARA-ARISHTALAKSHANAM,"discharge of flatus, urine, feces and worms from fistula"
,SNAYUKAROGAH,"edema like that of visarpa erysipelas, a thread like elongated structure comes out of the ulcer, frequent expulsion of kr̥mi, if it is cut due to ignorance, ulcer will agravate, after it will subside, ulcer generates at some other place"
,DAHAH,severe burning sensation in all over body
,RAKTAJADAHAH,"warmth, coppery lusture with copper red eyes, coppery lusture skin, thirst, emits iron like odour from the body, emits iron like odour from the mouth"
,PITTAJA-DAHAH,symptoms similar to that of dāha
,TRUSHNA-NIRODHAJADAHAH,"internal and external burning sensation, dryness of throat, dryness of palate, dryness of the lips, trumbling of tongue on protrusion, dulling of all senses"
,DHATUKSHAYAJADAHAH,"diminution of activities, weak and feeble voice, thirst, excessively distressed, syncope/attacks of swooning, malaise"
,KSHATAJADAHAH,"syncope/attacks of swooning, excess talking/irrelevant speech/incoherent speech, thirst, severe internal symptoms of burning"
,MAMSAVAHASROTODUSHTIH,"swelling, varicose veins, death, emaciation of muscles"
,ARBUDAH,"deep rooted, elevation of māṁsa, slowly growing and non-suppurating swelling, slightly painful swelling, broad and deep rooted swelling, round swelling, fixed swelling"
,VATAJA-ARBUDAH,"discharging transperent blood on bursting, associated with stretching, black swelling, swelling which is not soft/hard swelling, associated with pricking sensation, a feeling of being thrown away, distended like a basti/urinary bladder, soft swelling as bladder, a feeling of being torn down, a feeling of being churned up, swelling which is not soft/hard swelling, cutting type of pain, moving from one site to another, sudden regression or progression, severe distress"
,PITTAJA-ARBUDAH,"profuse, warm, and bloody discharge ( on bursting), severe burning, fuming sensation, quick suppuration, yellow swelling, a feeling of being burnt up, reddish swelling, sucking type of pain, suppurated pus discharge which is thick/whitish pus discharge on bursting"
,KAPAJA-ARBUDAH,"swelling with excessive itching, mild pain/painless, goat coloured swelling/body coloured, goat coloured swelling/body coloured, increases over a long period of time, swelling has the consistency of a stone, swelling cold on touch"
,RAKTAJA-ARBUDAH,"profuse bleeding, non-suppurative, rapid growth, elevated, larger in size, pallor, fleshy projections forming bulky growth, with discharge"
,MAMSAJA-ARBUDAH,"unctuous, large in size, hard in nature, covered with sirā/venous plexus, same colour as skin, not suppurating, hard like a stone, fixed swelling, painless"
,MEDOJA-ARBUDAH,"painless, swelling associated with itching sensation, on bursting discharge comes out resembling an oil cake or ghee, large swelling, swelling increases or decreases according to increase or decrease ofbody, unctuous, soft, mobile, on bursting fat discharge which is thick, coppery, white or black colour, swelling associated with itching sensation"
,ADHYARBUDAH/DVIRARBUDAH,grows over the pre-existing one
,ARSAH,"muscular growths, obstruction in the anus, polyps of different shape and size, severe emaciation, lack of energy, timid or apathy, blackish discolouration, lack of glow, pale, lost of lustre, as if a tree is afflicted by worms, associated with complications caused due to marma pīḍa, cough, thirst, distaste of mouth, breathlessness/difficult breathing, cold, catarrh, breaking type of pain in body, sneezing, swelling, fever, inability to perform sexual act/impotence, deafness/hearing impairment, errors of refraction/partial blindness, mutiple gravely particles in urine, weak and feeble voice, hoarseness of voice, starring look, spitting/excess expectoration, tastelessness, pain in small joints, pain in the bones, pain in the precordium/cardiac region, pain in the umbilical region, pain in anus, pain in groin region, slimy discharge from anus, rice water discharge from anus, occasional constipation, occasional normal bowels, sometimes wet, sometimes dry, sometimes ripened, sometimes unriped, pale coloured stools, yellow stools, greenish stools, reddish stools, slimy stools"
,ARSA-PURVARUPAM,"weakness, bloating of abdomen, reduced quantity of fecal matter, lack of interest in food, difficulty in digestion, sour belching/eructation, severe burning sensation, supression of propulsion of food, thirst, feelingof weakness/fatigue of thighs, gurgling sound of the intestines/barborygmus, emaciation, excessive eructations, swelling in eyes, barborygmus/gurgling sound of intestines, cutting type of pain in anus, suspicion of pandu rōga, suspicion of grahaṇī dōśa, cough, suspicion of udara rōga, breathlessness/difficult breathing, loss of physical strength or weakness, giddiness or dizziness, drowsiness/lassitude, sleep, impairement of sense organs, diminution of agni, calf claudication/cramp in the calf muscles, exhaustion or tirednes to body /inability to perform physical activities, altered bowels/loose stools, constipation, supressed vāyu moves below umbilical region, pain below umbilical region, painfull passage of flatus, tinnitus, wasted/dried up/emaciated, excess urination/polyuria, disinclination for food, smoky/fuming sensation, headache, pain in back, chest pain, lethargy, change in normal complexion, anger, sorrowfull, suspicion of gulma rōga"
,VATAJA-ARSAH,"hard polyp at anus, polyp in dry nature, polyp of various size, severe pain, convulsive movements, pricking pain, pulsating sensation, hyperesthesia in the region, relieves with unctuous treatment, relieves with hot treatment, abdominal distension, stiffness in penis, scrotal stiffness, stiffness in basti/urinary bladder, stiffnes in groins, excessive stiffness in cardiac region, severe bodyache, palpitation of heart, constant supression of flatus, constant supression of urine, pain in thighs, low back pain, pain in back, pain in sacroiliac region, pain in sides of chest/flanks, pain abdomen, pain in basti/urinary bladder, burning sensation in head, cold, catarrh, cough, upward movement of vāyu due to obstruction, stretching of body, dryness/wasting/emaciation, oedema, syncope/attacks of swooning, tastelessness, disgeusia/tastelessness, errors of refraction/partial blindness, itching, nasal pain, earache, pain in temporal region, supression of voice, dark coloured nails, dark coloured eyes, dark coloured face, dark coloured skin, dark coloured urine, dark coloured feces, slightly reddish coloured nails, slightly reddish coloured eyes, slightly reddish coloured face, slightly reddish coloured skin, slightly reddish coloured urine, slightly reddish coloured feces, rough nails, roughness of eyes, roughness of mouth/face, rough/dry skin, roughness of urine, roughness of feces, dry anal sprouts, reddish anal sprouts, discoloured anal sprouts, anal sprouts with irregular growth, tubular anal sprouts, flower bud size anal sprouts, anal sprouts as sharp needles, painful defecation, defecation of hard stools, penile pain, proctalgia, pain in umbilical region, dissimilar appearances in different pile masses, dry anal sprouts, anal sprouts with a tingling sensations, dirty looking anal sprouts, blackish anal sprouts, reddish anal sprouts, non compressible piles, clear anal sprouts, rough anal sprouts, rough peduncle in perianal region, twisted, sharp tip, cracked, having mouth opened, resemble the fruit of bimbi, resemble the fruit of kharjūra, resemble the fruit of karkandhu, resemble the fruit of karpasi, resemble the flower of kadamba, resemble like siddhārthaka, severe pain in the head, sever pain in the sides, pain in scapular regions, the waist, severe pain in thighs, pain in groins, sneezing, eructation, constipation/fullness in the abdomen, constricting pain in the cardiac region, tastelessness, cough, breathlessness/difficult breathing, impairment of agni (digestive power), tinnitus, giddiness or dizziness, scybalous faeces, faeces in small amounts, stool with production of sound, stool passes with gripping, stool pass with pain, stool passes with froath, mucilaginous stool pass, impacted stool, blackish discolouration of skin, blackish dis colouration of nails, blackish discolouration of faeces, blackish disoloration of urine, blackish dis colouration of eyes, blackish dis colouration of faeces, blackish discolouration of teeth, suspicious of manifestation of gulma, suspicious of manifestation of splenomegaly, suspicious of manifestation of ascites, suspicious of manifestation of prostatic enlargement, irregular in the center, like size of cotton plant"
,PITTAJA-ARSAH,"tender anal sprouts, tenderness in anal sprouts, perspirating, wet, bluish tips, reddish colouration, yellowish coloured pile mass, blackish coloured anal sprouts, thin sanguinous discharge, yellowish discharge, pilemass with blood discharge, having blood flow, itching, pain, pricking type of pain, relief with cold, feces in large quantity, excess urination/polyuria, black outs, unconsciousness/confusion, aversion to food, bluish tips, spreading, yellowish, diarrhoea with blood, yellowish teeth, foul odour, few in number, soft pile mass, elongated/lax, appearance like tongue of a parrot, appearance like piece of liver, appearance like mouth of leech, burning sensation, inflammation/suppuration, fever, perspiration, thirst, syncope/attacks of swooning, tastelessness, confusion/delirium, hot, stools liquid in nature, bluish stool, hot stools, yellowish stools, passage of unformed (undigested) feces, stools with blood, barley shaped in the middle, green colouration of skin, green colouration of nails, green colouration of skin and nails etc., green coloured urine, green coloured eyes, green colouration of face, yellowishness of skin, yellowish nails, yellowish stools, yellowish urine, yellowish eyes, yellow colouration of face, yellow coloured skin, yellow coloured nail, yellow coloured feces, yellowish discoluration of urine, yellow coloured eyes, yellow coloured face, anal sprouts with smell of raw meat, passage of unformed (loose) feces"
,KAPAJA-ARSAH,"proportionate polyps, heaped anal sprouts, can tolerate touch, whitish anal sprouts, pale anal sprouts, non compressible piles, heavy, piles appear as if wrapped with a wet cloth, numb sensation, fixed swelling, intense itching, heavy dishcarge from deeply rooted pile mass, continuous discharge, coppery brown discharge from pile mass, whitish discharge, blood discharge, slimy discharge, heavy, urination, heavy, thick stools, turbid urine, slimy feces, whitish urine, whitish feces, feels better with dry mode of treatment, feels better with hot mode of treatment, dysentery, exessive enlargement, distention in groins, cutting type of pain, spitting of sputum, piles with broad pedicle, condenced peduncle in anal region, piles with mild pain, piles with white in colour, elevated, heaped, unctuous piles, non compressible piles, round piles, heavy piles, fixed piles, slimy pile mass, piles appear as if wrapped with a wet cloth, glossy pile mass, intense itching, feels better with touch, thorny appearance, pile mass have the appearance of a panasa, pile mass have the appearance of a cows udder, swelling appear in the inguinal region, stretching sensation in the anal region, stretching sensation in the basti/urinary bladder region, stretching sensation in the umbilical region, breathlessness/difficult breathing, cough, nausea, excessive salivation, tastelessness, chronic rhinitis, frequent and excessive micturition, dysuria, heaviness in the head, heaviness, dysuria, dryness/wasting/emaciation, oedema, pallor/pale, urolithiasis, mutiple gravely particles in urine, feeling as if heart is coated/wrapped, feeling as if sense organs are coated, sweetness in mouth, excessive urination, chronic nature, excessive diminution of agni, excessive impotency, whitish nails, whitish eyes, whitish face, whitish discoloration of skin, whitish urine, whitish feces, whitish teeth, fever with rigor, inability to perform sexual act/impotence, diminution of agni (digestive power), vomitting, leads to amavikara, faeces with fat like appearance, faeces with mixed with kapha, faeces passed with tenesmus, no discharge, no bursting, pallor, pale nails, pale feces, pale urine, pallor in eyes, pale face, unctuous skin, unctuous nails, unctuous feces, unctuous urine, unctuous eyes, unctuous face, feces as raw meat washing, loose stool in large quantity, indigestion, heaviness of head"
,RAKTAJA-ARSAH,"anal sprouts as shoots of indian fig tree, pile mass are like the coral, pile mass are like the gunja or coral, clinical features of pitta type of arśa, being pressed by hard feces, excessive bleeding, severely vitiated blood discharge, frequent bleeding, features similar to those of paittik, pile mass are like the sprouts of the banyan tree, suddenly discharge excessively vitiated and hot blood, suffers from various diseases due to loss of the blood, appearance like that of frog, dull complexion, loss of energy, loss of drive, loss of vitality, depression in the sensory organs"
,VATANUBANDHARAKTA-ARSAH,"blackish feces, hard feces, dryness of fecal matter, not passing of flatus, the thin red coloured frothy blood is passed, passing of slightly reddish coloured blood, frothy blood, low backpain, pain in the thighs, proctalgia, extreme weakness"
